current_state,next_state,prob
nothing,nothing,0.08235294117647059
nothing,titfortat,0.0
nothing,subretaliation,0.0
nothing,superretaliation,0.31176470588235294
nothing,subsidization,0.6058823529411765
titfortat,nothing,0.009090909090909092
titfortat,titfortat,0.2863636363636364
titfortat,subretaliation,0.23636363636363636
titfortat,superretaliation,0.23636363636363636
titfortat,subsidization,0.2318181818181818
subretaliation,nothing,0.15
subretaliation,titfortat,0.4
subretaliation,subretaliation,0.4
subretaliation,superretaliation,0.0
subretaliation,subsidization,0.05
superretaliation,nothing,0.014285714285714287
superretaliation,titfortat,0.18571428571428572
superretaliation,subretaliation,0.028571428571428574
superretaliation,superretaliation,0.7571428571428571
superretaliation,subsidization,0.014285714285714287
subsidization,nothing,0.31176470588235294
subsidization,titfortat,0.31764705882352945
subsidization,subretaliation,0.0
subsidization,superretaliation,0.0
subsidization,subsidization,0.37058823529411766
