Year,Month,Quantity,Value
2021,Jan,20563000,1309000000
2021,Feb,20563000,1309000000
2021,Mar,27329000,2170100000
2021,Apr,21734000,1830400000
2021,May,21040000,1810100000
2021,Jun,28392000,2612100000
2021,Jul,30178000,2934900000
2021,Aug,28052000,3111700000
2022,Jan,17695500,2930150000
2022,Feb,17695500,2930150000
2022,Mar,16423000,2315200000
2022,Apr,23549000,3702200000
2022,May,20549000,3399500000
2022,Jun,18982000,3042500000
2022,Jul,23523000,3783600000
2022,Aug,29456000,4110900000
2022,Sep,33048000,3970700000
2022,Oct,29182000,3708900000
2022,Nov,32313000,4341000000
2022,Dec,30908000,4180000000
2023,Jan,30321000,4141900000
2023,Feb,30321000,4141900000
2023,Mar,41165000,5268600000
2023,Apr,40676000,4991800000
2023,May,39584000,4612000000
2023,Jun,39871000,4489700000
2023,Jul,39260000,3867000000
2023,Aug,44333000,4080400000
2023,Sep,42140000,3993300000
2023,Oct,35992000,3553800000
2023,Nov,43506000,4545300000
2023,Dec,47297000,5156900000
